Step,Element,Value,Counter_Array,Description
0,-,-,0:0 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 ...,Инициализация массива подсчета
1,arr[0],5,5:1 ,Увеличиваем count[5] до 1
2,arr[1],28,5:1 28:1 ,Увеличиваем count[28] до 1
3,arr[2],14,5:1 14:1 28:1 ,Увеличиваем count[14] до 1
4,arr[3],73,5:1 14:1 28:1 73:1 ,Увеличиваем count[73] до 1
5,arr[4],42,5:1 14:1 28:1 42:1 73:1 ,Увеличиваем count[42] до 1
6,arr[5],61,5:1 14:1 28:1 42:1 61:1 73:1 ,Увеличиваем count[61] до 1
7,arr[6],33,5:1 14:1 28:1 33:1 42:1 61:1 73:1 ,Увеличиваем count[33] до 1
8,arr[7],91,5:1 14:1 28:1 33:1 42:1 61:1 73:1 91:1 ,Увеличиваем count[91] до 1
9,arr[8],22,5:1 14:1 22:1 28:1 33:1 42:1 61:1 73:1 91:1 ,Увеличиваем count[22] до 1
10,arr[9],55,5:1 14:1 22:1 28:1 33:1 42:1 55:1 61:1 73:1 91:1 ,Увеличиваем count[55] до 1
11,arr[10],19,5:1 14:1 19:1 22:1 28:1 33:1 42:1 55:1 61:1 73:1 91:1 ,Увеличиваем count[19] до 1
