n,Left_Rectangle_Precision,Right_Rectangle_Precision,Mid_Rectangle_Precision,Trapezoidal_Precision,Simpson_Precision,Left_Rectangle_Time,Right_Rectangle_Time,Mid_Rectangle_Time,Trapezoidal_Time,Simpson_Time
10,1.09072,1.09077,1.39189,1.09074,3.86983,1357,612,604,890,482
50,2.48842,2.48864,2.78956,2.48853,6.7312,1460,906,1113,1312,1057
100,3.09037,3.09081,3.39162,3.09059,7.93748,2089,1297,1598,1759,1632
500,4.48742,4.48963,4.78955,4.48852,10.7341,8130,5791,6589,6367,5890
1000,5.08839,5.09279,5.39161,5.09058,11.9386,15758,11453,12851,12557,11291
5000,6.47766,6.49967,6.78955,6.48852,14.4494,77173,58953,60076,61198,56096
10000,7.06911,7.11317,7.39161,7.09058,20,152816,121964,116885,123221,118205
50000,8.39043,8.61543,8.78955,8.48852,13.9723,807508,569494,546269,555769,556198
100000,8.91253,9.39756,9.39165,9.09058,13.1539,1508307,1186375,1315676,1035925,1126104
500000,9.93991,10.3035,10.7911,10.4873,12.8931,7077171,6056893,6517017,5602414,12335059
1000000,10.3084,10.48,11.3934,11.0956,13.3111,17028284,12090920,13823038,14551248,20398608
